"","Range","Step","Salary"
"871",24,"W2",180726
"872",25,"W2",194278.5
"873",26,"W2",201591
"874",27,"W2",208630.5
"875",5,"X2",53001
"876",6,"X2",56238
"877",7,"X2",59689.5
"878",8,"X2",63511.5
"879",9,"X2",67294.5
"880",10,"X2",71623.5
"881",11,"X2",76479
"882",12,"X2",81802.5
"883",13,"X2",87828
"884",14,"X2",94029
"885",15,"X2",101049
"886",16,"X2",108283.5
"887",17,"X2",115693.5
"888",18,"X2",123825
"889",19,"X2",132249
"890",20,"X2",141531
"891",21,"X2",151437
"892",22,"X2",162220.5
"893",23,"X2",173998.5
"894",24,"X2",186595.5
"895",25,"X2",200596.5
"896",26,"X2",208143
"897",27,"X2",215416.5
"898",5,"Y2",54717
"899",6,"Y2",58071
"900",7,"Y2",61620
"901",8,"Y2",65578.5
"902",9,"Y2",69478.5
"903",10,"Y2",73944
"904",11,"Y2",78955.5
"905",12,"Y2",84454.5
"906",13,"Y2",90675
"907",14,"Y2",97090.5
"908",15,"Y2",104325
"909",16,"Y2",111793.5
"910",17,"Y2",119457
"911",18,"Y2",127842
"912",19,"Y2",136539
"913",20,"Y2",146133
"914",21,"Y2",156351
"915",22,"Y2",167485.5
"916",23,"Y2",179653.5
"917",24,"Y2",192660
"918",25,"Y2",207109.5
"919",26,"Y2",214909.5
"920",27,"Y2",222417
"921",5,"Z2",56491.5
"922",6,"Z2",59962.5
"923",7,"Z2",63628.5
"924",8,"Z2",67704
"925",9,"Z2",71740.5
"926",10,"Z2",76342.5
"927",11,"Z2",81529.5
"928",12,"Z2",87204
"929",13,"Z2",93619.5
"930",14,"Z2",100249.5
"931",15,"Z2",107718
"932",16,"Z2",115420.5
"933",17,"Z2",123337.5
"934",18,"Z2",131995.5
"935",19,"Z2",140985
"936",20,"Z2",150891
"937",21,"Z2",161440.5
"938",22,"Z2",172926
"939",23,"Z2",185484
"940",24,"Z2",198919.5
"941",25,"Z2",213837
"942",26,"Z2",221890.5
"943",27,"Z2",229651.5
